,F_val
22,"[('223.7.30.181', 983), ('141.183.211.149', 977), ('16.206.36.147', 506), ('56.186.123.110', 466), ('16.206.36.19', 408), ('135.214.201.49', 398), ('75.91.212.229', 389), ('125.20.145.195', 371), ('114.67.43.48', 363), ('7.236.99.148', 286), ('16.236.65.169', 256), ('156.149.134.77', 248), ('231.23.54.51', 246), ('40.244.190.33', 232), ('135.214.201.44', 228), ('238.204.218.38', 227), ('116.247.54.250', 226), ('224.134.46.157', 213), ('16.206.36.51', 210), ('124.117.15.38', 210)]"
23,"[('223.7.30.181', 966), ('140.43.223.7', 691), ('141.183.211.149', 678), ('16.206.36.48', 632), ('135.214.201.49', 517), ('16.206.36.147', 508), ('7.236.99.148', 393), ('125.20.145.195', 372), ('114.67.43.48', 363), ('16.236.65.169', 350), ('131.174.243.19', 346), ('218.225.83.114', 330), ('16.206.36.46', 320), ('100.208.231.95', 281), ('75.91.213.63', 259), ('156.149.134.77', 228), ('140.158.138.53', 225), ('231.23.54.51', 223), ('124.117.15.38', 222), ('56.186.123.110', 221)]"
24,"[('141.183.211.149', 1486), ('223.7.30.181', 1042), ('140.43.223.7', 691), ('16.206.36.48', 632), ('131.174.243.19', 608), ('16.206.36.147', 551), ('75.91.213.63', 475), ('125.20.145.195', 433), ('16.236.65.169', 364), ('218.225.83.114', 330), ('16.206.36.14', 320), ('231.23.54.51', 291), ('116.247.54.250', 283), ('100.208.231.95', 281), ('16.206.36.144', 271), ('7.236.99.148', 261), ('30.214.172.153', 254), ('135.214.201.65', 251), ('104.53.132.131', 241), ('16.206.36.51', 236)]"
25,"[('141.183.211.149', 1796), ('223.7.30.181', 1036), ('116.247.54.250', 682), ('122.24.173.150', 661), ('75.91.213.63', 442), ('16.206.36.19', 398), ('16.206.36.147', 390), ('100.208.231.95', 364), ('114.67.43.48', 363), ('140.43.223.7', 360), ('124.117.15.38', 329), ('131.174.243.19', 302), ('101.81.106.52', 301), ('231.23.54.51', 292), ('52.135.59.93', 269), ('7.236.99.148', 255), ('30.214.172.153', 254), ('125.20.145.195', 241), ('104.53.132.131', 241), ('224.134.46.157', 224)]"
26,"[('223.7.30.181', 1034), ('141.183.211.149', 795), ('122.24.173.150', 661), ('148.27.137.16', 620), ('16.206.36.147', 592), ('140.43.223.7', 556), ('100.208.231.95', 506), ('75.91.213.63', 503), ('218.225.83.114', 405), ('116.247.54.250', 399), ('114.67.43.48', 363), ('16.236.65.169', 355), ('7.236.99.148', 320), ('16.206.36.46', 309), ('101.81.106.52', 301), ('244.199.180.7', 272), ('124.117.15.38', 271), ('156.149.134.77', 252), ('16.206.36.51', 242), ('231.23.54.51', 224)]"
27,"[('223.7.30.181', 1061), ('122.24.173.150', 665), ('148.27.137.16', 619), ('141.183.211.149', 565), ('75.91.213.63', 524), ('116.247.54.250', 483), ('16.206.36.147', 479), ('16.206.36.51', 473), ('218.225.83.114', 405), ('16.236.65.169', 355), ('124.37.53.63', 353), ('30.214.172.153', 330), ('16.206.36.14', 321), ('16.206.36.46', 307), ('149.164.124.168', 302), ('244.199.180.7', 301), ('231.23.54.51', 277), ('7.236.99.148', 275), ('75.91.212.233', 248), ('196.42.231.196', 244)]"
28,"[('141.183.211.149', 1421), ('223.7.30.181', 1037), ('122.24.173.150', 670), ('33.189.177.242', 614), ('100.208.231.95', 598), ('116.247.54.250', 483), ('101.81.106.52', 435), ('52.135.59.93', 424), ('30.214.172.153', 420), ('231.23.54.51', 418), ('148.27.137.16', 416), ('135.214.201.41', 374), ('124.37.53.63', 341), ('75.91.213.63', 273), ('131.174.242.45', 269), ('135.214.201.49', 261), ('16.206.36.51', 260), ('208.181.140.212', 259), ('16.206.36.147', 258), ('33.216.243.115', 256)]"
29,"[('141.183.211.149', 2256), ('223.7.30.181', 1077), ('33.189.177.242', 614), ('100.208.231.95', 598), ('112.80.112.66', 584), ('131.174.242.45', 527), ('124.37.53.63', 480), ('101.81.106.52', 435), ('135.214.201.49', 422), ('231.23.54.51', 419), ('148.27.137.16', 416), ('135.214.201.41', 374), ('244.199.180.7', 368), ('140.169.207.14', 363), ('208.181.140.212', 357), ('16.206.36.51', 332), ('124.117.15.38', 325), ('224.134.46.157', 306), ('149.74.8.230', 305), ('7.236.99.148', 276)]"
30,"[('141.183.211.149', 1403), ('223.7.30.181', 1070), ('122.24.159.76', 629), ('16.206.36.51', 621), ('112.80.112.66', 603), ('33.189.177.242', 560), ('208.181.140.212', 521), ('244.199.180.7', 507), ('124.37.53.63', 483), ('135.214.201.49', 381), ('140.169.207.14', 363), ('218.225.83.96', 362), ('231.23.54.51', 330), ('124.117.15.38', 328), ('16.206.36.14', 327), ('224.134.46.157', 310), ('33.216.243.115', 305), ('149.74.8.230', 305), ('56.186.123.110', 302), ('52.135.59.93', 297)]"
31,"[('223.7.30.181', 1033), ('122.24.159.76', 708), ('141.183.211.149', 696), ('100.208.231.95', 660), ('52.135.59.93', 599), ('33.189.177.242', 565), ('244.199.180.7', 509), ('208.181.140.212', 457), ('148.27.137.16', 416), ('30.214.172.153', 410), ('149.74.8.230', 410), ('140.169.207.14', 363), ('218.225.83.96', 362), ('135.214.201.41', 342), ('16.206.36.51', 333), ('231.23.54.51', 312), ('33.216.243.115', 305), ('101.81.106.52', 258), ('56.186.123.110', 243), ('140.169.199.215', 234)]"
